first_name_x,last_name_x,npi_x,street,street_2,city,state,zip,lat,lon,first_name_y,last_name_y,npi_y,_merge
ruthe,laverne,44843147983186317848,569 glenda islands,suite 163,willport,nj,23453,,,,,,left_only
marshall,cole,18233577393219566041,59944 adaline harbor,apt 862,keelingstad,al,94189,-84.7669879597025,134.0653096213187,marshall,cole,18233577393219566041,both
lawson,lilliana,78792788275411915642,36175 amina mount,apt 256,north daija,de,30997,-5.6687886642665575,-78.53360129963642,lawson,lilliana,78792788275411915642,both
martine,kiana,23583155472740817761,188 walsh flat,apt 891,yasmeenstad,nv,83568,-31.584772592655966,-136.74090970869585,martine,kiana,23583155472740817761,both
leatha,freida,,43796 gutmann plains,suite 341,vonmouth,fl,10500,-6.402448581828892,-154.89939555160782,leatha,freida,33162918725434354575,both
justyn,abbie,78362387662864903554,,,,,,,,,,,left_only
granville,benton,17871640342222098849,95496 dare rue,suite 203,octaviastad,il,45294,46.184575751643024,86.26226978060578,granville,benton,17871640342222098849,both
brenda,lenna,88137148807320232511,361 justyn meadow,suite 635,steuberhaven,la,71148,-74.74155611941049,-138.5434541219899,brenda,lenna,88137148807320232511,both
juliana,benedict,,798 katarina street,apt 817,north florida,ri,10547,22.359079896319514,-30.45701913361046,juliana,benedict,53893064485360651832,both
marjory,ulices,13251241236387155567,5356 hane mountains,suite 254,elmiraborough,ny,80179,8.309836900564747,148.35777430217814,marjory,ulices,13251241236387155567,both
celia,joany,53517451823105334497,,,,,,,,,,,left_only
kathryn,shany,18615056044429228990,817 hammes harbor,apt 701,dickinsonview,ca,97730,,,,,,left_only
isabelle,nils,41196810585374325420,590 cummings union,apt 390,daphneeburgh,in,56970,-11.103511039333924,74.28069610193555,isabelle,nils,41196810585374325420,both
johnnie,johnathon,,541 nora hill,apt 833,south erwinborough,ut,24212,11.104968706797337,-179.33070042145633,johnnie,johnathon,66784257725381439573,both
madaline,shirley,34629375530320352466,62088 krajcik summit,apt 534,kundechester,wa,30826,49.427624140076205,-0.45901344076389705,madaline,shirley,34629375530320352466,both
khalid,crystel,82216555626836774716,89133 schoen ferry,apt 830,richieland,sc,73060,-32.94654374463235,6.933638893781762,khalid,crystel,82216555626836774716,both
heather,tracy,75216887016624818206,,,,,,,,,,,left_only
audra,imogene,,9228 rodriguez knolls,apt 544,jonesside,in,20864,-45.90047017354284,-117.34192734426404,audra,imogene,25110155538327385614,both
montana,dominic,48581605458856137841,622 reggie inlet,apt 456,wunschhaven,co,73178,82.7630628139039,-98.39945620453962,montana,dominic,48581605458856137841,both
justice,jessy,55734468672668247847,75693 eliseo burgs,suite 102,wittingstad,hi,77848,49.01922608414009,-90.43597597941174,justice,jessy,55734468672668247847,both
maryjane,sasha,53273831484766113262,8210 romaguera ridges,apt 807,asiastad,id,41761,89.95974362175917,67.51869600984747,maryjane,sasha,53273831484766113262,both
brice,maximillian,58552116202772184856,779 macejkovic avenue,suite 917,dannychester,vt,43697,,,,,,left_only
sylvia,obie,,,,,,,,,,,,left_only
